match_id,team_statistics,batsman_1,batsman_1_runs,batsman_2,batsman_2_runs,batsman_3,batsman_3_runs,batsman_4,batsman_4_runs,batsman_5,batsman_5_runs,batsman_6,batsman_6_runs,batsman_7,batsman_7_runs,batsman_8,batsman_8_runs,batsman_9,batsman_9_runs,batsman_10,batsman_10_runs,batsman_11,batsman_11_runs,bowler_1,bowler_1_wickets,bowler_2,bowler_2_wickets,bowler_3,bowler_3_wickets,bowler_4,bowler_4_wickets,bowler_5,bowler_5_wickets,bowler_6,bowler_6_wickets,bowler_7,bowler_7_wickets,bowler_8,bowler_8_wickets,bowler_9,bowler_9_wickets,bowler_10,bowler_10_wickets,bowler_11,bowler_11_wickets,total_run,total_wickets
569241,England,AN Cook,78,IR Bell,44,IJL Trott,65,JE Root,79,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,JM Anderson,5,ST Finn,1,CR Woakes,3,SCJ Broad,1,GP Swann,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,270,10
593983,West Indies,J Charles,130,KOA Powell,79,DM Bravo,100,AD Russell,4,DJ Bravo,9,RR Sarwan,7,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,KAJ Roach,1,TL Best,1,SP Narine,3,N Deonarine,0,DJ Bravo,2,AD Russell,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,337,9
593983,Zimbabwe,V Sibanda,12,CJ Chibhabha,6,H Masakadza,4,BRM Taylor,8,CR Ervine,41,MN Waller,51,RW Chakabva,4,P Utseya,18,KM Jarvis,1,N M'shangwe,14,CB Mpofu,0,KM Jarvis,1,P Utseya,0,CB Mpofu,2,CJ Chibhabha,0,N M'shangwe,1,H Masakadza,0,MN Waller,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,181,4
569242,New Zealand,BJ Watling,1,KS Williamson,7,HD Rutherford,2,LRPL Taylor,28,GD Elliott,24,BB McCullum,79,JEC Franklin,13,NL McCullum,4,AM Ellis,9,KD Mills,2,TG Southee,5,KD Mills,0,TG Southee,3,AM Ellis,2,NL McCullum,0,KS Williamson,0,JEC Franklin,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,185,5
569242,England,AN Cook,46,IR Bell,24,IJL Trott,38,JE Root,28,EJG Morgan,39,JC Buttler,3,CR Woakes,3,not_batted,0,not_batted,0,not_batted,0,not_batted,0,JM Anderson,1,ST Finn,3,CR Woakes,1,SCJ Broad,2,GP Swann,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,186,10
593985,Zimbabwe,TMK Mawoyo,9,V Sibanda,41,H Masakadza,6,BRM Taylor,39,RW Chakabva,17,MN Waller,15,CJ Chibhabha,48,CT Mutombodzi,13,N M'shangwe,1,KM Jarvis,7,CB Mpofu,2,KM Jarvis,1,CB Mpofu,0,N M'shangwe,0,CT Mutombodzi,2,MN Waller,0,H Masakadza,1,CJ Chibhabha,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,211,5
593985,West Indies,KOA Powell,42,RR Sarwan,19,DM Bravo,72,N Deonarine,21,DJ Bravo,25,D Ramdin,24,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,KAJ Roach,0,TL Best,2,DJ Bravo,2,SP Narine,1,V Permaul,3,N Deonarine,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,215,9
567368,South Africa,GC Smith,30,HM Amla,43,AB de Villiers,65,CA Ingram,105,F du Plessis,26,F Behardien,34,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,LL Tsotsobe,1,KJ Abbott,1,RK Kleinveldt,4,RJ Peterson,0,R McLaren,3,F Behardien,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,315,10
567368,Pakistan,Mohammad Hafeez,25,Nasir Jamshed,25,Younis Khan,30,Asad Shafiq,5,Misbah-ul-Haq,38,Shoaib Malik,19,Kamran Akmal,2,Shahid Afridi,34,Umar Gul,2,Saeed Ajmal,0,Junaid Khan,0,Junaid Khan,1,Umar Gul,0,Mohammad Hafeez,1,Saeed Ajmal,2,Shahid Afridi,0,Shoaib Malik,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,190,4
592266,Canada,H Patel,0,R Gunasekera,72,NR Kumar,6,AS Hansra,24,Raza-ur-Rehman,70,Usman Limbada,30,Rizwan Cheema,2,Hamza Tariq,0,not_batted,0,not_batted,0,not_batted,0,H Osinde,2,Rizwan Cheema,0,Junaid Siddiqui,1,AS Hansra,0,N Dutta,0,H Patel,1,Raza-ur-Rehman,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,227,4
592266,Kenya,IA Karim,65,AA Obanda,26,MA Ouma,47,CO Obuya,34,T Mishra,24,RR Patel,20,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,NM Odhiambo,2,E Otieno,4,RG Aga,1,HA Varaiya,1,JO Ngoche,0,RR Patel,0,CO Obuya,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,228,8
567370,South Africa,GC Smith,3,HM Amla,122,CA Ingram,17,AB de Villiers,128,F du Plessis,45,F Behardien,6,R McLaren,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,DW Steyn,1,LL Tsotsobe,3,RK Kleinveldt,1,RJ Peterson,2,R McLaren,3,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,343,10
567370,Pakistan,Nasir Jamshed,10,Mohammad Hafeez,57,Kamran Akmal,30,Younis Khan,19,Misbah-ul-Haq,28,Shoaib Malik,4,Shahid Afridi,88,Wahab Riaz,45,Saeed Ajmal,8,Junaid Khan,9,Mohammad Irfan,0,Mohammad Irfan,2,Junaid Khan,0,Wahab Riaz,2,Shahid Afridi,0,Mohammad Hafeez,0,Saeed Ajmal,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,309,5
567371,South Africa,HM Amla,0,CA Ingram,0,AB de Villiers,75,GC Smith,12,F Behardien,1,DA Miller,67,R McLaren,11,RJ Peterson,25,RK Kleinveldt,18,DW Steyn,9,LL Tsotsobe,5,DW Steyn,1,LL Tsotsobe,2,RK Kleinveldt,1,RJ Peterson,2,R McLaren,0,CA Ingram,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,234,7
567371,Pakistan,Imran Farhat,93,Mohammad Hafeez,0,Kamran Akmal,11,Younis Khan,6,Misbah-ul-Haq,80,Shahid Afridi,4,Shoaib Malik,19,Wahab Riaz,0,Saeed Ajmal,5,not_batted,0,not_batted,0,Mohammad Irfan,3,Junaid Khan,3,Mohammad Hafeez,0,Wahab Riaz,0,Saeed Ajmal,3,Shahid Afridi,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,236,9
567372,Pakistan,Imran Farhat,13,Mohammad Hafeez,5,Kamran Akmal,48,Younis Khan,29,Misbah-ul-Haq,24,Shoaib Malik,28,Shahid Afridi,0,Wahab Riaz,12,Saeed Ajmal,1,Junaid Khan,25,Mohammad Irfan,4,Mohammad Irfan,2,Junaid Khan,1,Mohammad Hafeez,1,Wahab Riaz,0,Saeed Ajmal,0,Shahid Afridi,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,205,4
567372,South Africa,HM Amla,22,Q de Kock,3,CA Ingram,15,AB de Villiers,95,F Behardien,35,DA Miller,20,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,DW Steyn,1,LL Tsotsobe,1,M Morkel,2,R McLaren,3,RJ Peterson,1,F Behardien,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,208,10
623573,Bangladesh,Tamim Iqbal,27,Mohammad Ashraful,29,Mominul Haque,38,Mushfiqur Rahim,5,Shakib Al Hasan,1,Nasir Hossain,68,Mahmudullah,36,Ziaur Rahman,12,Abdur Razzak,16,Shafiul Islam,1,not_batted,0,Robiul Islam,1,Shafiul Islam,2,Abdur Razzak,1,Shakib Al Hasan,0,Ziaur Rahman,5,Mahmudullah,0,Mominul Haque,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,269,10
623573,Zimbabwe,H Masakadza,38,RW Chakabva,1,Sikandar Raza,3,BRM Taylor,33,SC Williams,10,MN Waller,19,E Chigumbura,0,P Utseya,0,SW Masakadza,33,T Panyangara,0,TL Chatara,0,TL Chatara,2,T Panyangara,1,E Chigumbura,0,SW Masakadza,4,P Utseya,0,H Masakadza,0,MN Waller,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,148,8
623574,Bangladesh,Tamim Iqbal,6,Mohammad Ashraful,8,Mominul Haque,24,Mushfiqur Rahim,26,Shakib Al Hasan,34,Nasir Hossain,36,Mahmudullah,31,Ziaur Rahman,12,Abdur Razzak,53,Shafiul Islam,4,Robiul Islam,0,Shafiul Islam,2,Robiul Islam,0,Abdur Razzak,0,Ziaur Rahman,1,Shakib Al Hasan,1,Mahmudullah,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,252,4
