country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
Pakistan,0.3076923076923077,-204,1,13,4,645635
West Indies,0.4117647058823529,-28,-22,17,7,645637
Sri Lanka,0.5,-60,12,12,6,635653
Zimbabwe,0.4,-277,8,5,2,643665
West Indies,0.4117647058823529,-28,-22,17,7,645643
India,0.6153846153846154,84,1,13,8,643667
South Africa,0.5454545454545454,212,0,11,6,635655
Zimbabwe,0.4,-277,8,5,2,643669
South Africa,0.5454545454545454,212,0,11,6,635656
Sri Lanka,0.5,-60,12,12,6,635657
Zimbabwe,0.4,-277,8,5,2,643675
Zimbabwe,0.4,-277,8,5,2,643677
Pakistan,0.4375,34,3,16,7,659549
Canada,0.0,0,-6,1,0,660827
Pakistan,0.4375,34,3,16,7,659551
Pakistan,0.4375,34,3,16,7,659553
Ireland,0.5,88,-2,2,1,566940
Scotland,0.0,-96,0,1,0,660837
Australia,0.6363636363636364,181,2,11,7,566942
Australia,0.6363636363636364,181,2,11,7,566944
Australia,0.6363636363636364,181,2,11,7,566945
Australia,0.6363636363636364,181,2,11,7,647249
Australia,0.6363636363636364,181,2,11,7,647251
India,0.7,-29,44,20,14,647253
Australia,0.6363636363636364,181,2,11,7,647259
South Africa,0.42857142857142855,-79,-12,14,6,649091
Bangladesh,0.5,206,-8,8,4,668955
Pakistan,0.5294117647058824,232,0,17,9,649093
India,0.7,-29,44,20,14,647261
New Zealand,0.5454545454545454,69,-4,11,6,668957
South Africa,0.42857142857142855,-79,-12,14,6,649095
South Africa,0.42857142857142855,-79,-12,14,6,649097
South Africa,0.42857142857142855,-79,-12,14,6,649099
West Indies,0.42105263157894735,-128,-17,19,8,676529
India,0.7,-29,44,20,14,676531
Pakistan,0.5294117647058824,232,0,17,9,685731
Pakistan,0.5294117647058824,232,0,17,9,685733
West Indies,0.42105263157894735,-128,-17,19,8,676533
Pakistan,0.5294117647058824,232,0,17,9,685735
South Africa,0.42857142857142855,-79,-12,14,6,648651
South Africa,0.42857142857142855,-79,-12,14,6,648653
Pakistan,0.5294117647058824,232,0,17,9,657637
Pakistan,0.5294117647058824,232,0,17,9,657639
Pakistan,0.5294117647058824,232,0,17,9,657641
Sri Lanka,0.5333333333333333,294,11,15,8,657643
New Zealand,0.5454545454545454,69,-4,11,6,661685
Pakistan,0.5294117647058824,232,0,17,9,657645
New Zealand,0.42857142857142855,29,-10,14,6,661689
West Indies,0.42105263157894735,-128,-17,19,8,661693
England,0.47368421052631576,-263,9,19,9,636159
England,0.47368421052631576,-263,9,19,9,636160
New Zealand,0.42857142857142855,29,-10,14,6,667641
England,0.47368421052631576,-263,9,19,9,636161
Netherlands,0.5,-88,9,2,1,696733
Scotland,0.0,-96,-1,2,0,696731
England,0.47368421052631576,-263,9,19,9,636162
Australia,0.5555555555555556,226,-12,18,10,636163
Canada,0.0,0,-15,2,0,696747
India,0.68,-362,70,25,17,667647
Kenya,1.0,0,6,1,1,696759
New Zealand,0.42857142857142855,29,-10,14,6,667649
Sri Lanka,0.5333333333333333,294,11,15,8,690355
Sri Lanka,0.5294117647058824,322,-5,17,9,690357
Bangladesh,0.6,161,-9,5,3,690359
Ireland,0.5,88,-7,4,2,702139
Sri Lanka,0.5294117647058824,322,-5,17,9,710291
Bangladesh,0.6,161,-9,5,3,710293
India,0.68,-362,70,25,17,710297
West Indies,0.5714285714285714,-45,-5,14,8,636533
Afghanistan,0.0,0,0,0,0,710299
West Indies,0.5714285714285714,-45,-5,14,8,636534
India,0.68,-362,70,25,17,710301
Sri Lanka,0.5294117647058824,322,-5,17,9,710303
Bangladesh,0.6,161,-9,5,3,710305
Afghanistan,0.0,0,0,0,0,710307
England,0.47368421052631576,-263,9,19,9,636535
Bangladesh,0.6,161,-9,5,3,710309
Pakistan,0.48148148148148145,157,-6,27,13,710311
Sri Lanka,0.6666666666666666,524,11,24,16,706767
Sri Lanka,0.6666666666666666,524,11,24,16,667891
Sri Lanka,0.6666666666666666,524,11,24,16,667893
Sri Lanka,0.6666666666666666,524,11,24,16,667895
England,0.45,-74,-7,20,9,667897
South Africa,0.5714285714285714,147,-4,14,8,730083
Sri Lanka,0.7083333333333334,511,15,24,17,730085
South Africa,0.5714285714285714,147,-4,14,8,730087
Afghanistan,0.4,-99,-8,5,2,756037
Zimbabwe,0.125,-256,-22,8,1,756039
Afghanistan,0.4,-99,-8,5,2,756041
South Africa,0.5714285714285714,147,-4,14,8,736437
South Africa,0.5714285714285714,147,-4,14,8,736439
Bangladesh,0.2222222222222222,-66,-14,9,2,730287
Zimbabwe,0.125,-256,-22,8,1,736441
West Indies,0.5,34,-6,10,5,730289
Australia,0.6153846153846154,100,0,13,8,736443
West Indies,0.5,34,-6,10,5,730291
Sri Lanka,0.7083333333333334,511,15,24,17,745161
Australia,0.6153846153846154,100,0,13,8,736445
South Africa,0.5714285714285714,147,-4,14,8,736447
England,0.375,-239,2,16,6,667725
Australia,0.6153846153846154,100,0,13,8,736449
Australia,0.6153846153846154,100,0,13,8,736451
England,0.375,-239,2,16,6,667727
South Africa,0.5714285714285714,147,-4,14,8,736453
England,0.375,-239,2,16,6,667729
Australia,0.6153846153846154,100,0,13,8,736455
Scotland,1.0,170,3,2,2,727935
Scotland,1.0,170,3,2,2,727937
Ireland,0.0,-79,-4,2,0,727939
Australia,0.6153846153846154,100,0,13,8,727919
West Indies,0.5,34,-6,10,5,770121
Pakistan,0.5238095238095238,258,-8,21,11,727921
India,0.4117647058823529,-401,24,17,7,770123
Australia,0.6153846153846154,100,0,13,8,727923
India,0.4117647058823529,-401,24,17,7,770127
New Zealand,0.5,27,1,8,4,749771
South Africa,0.7619047619047619,685,24,21,16,749773
India,0.47368421052631576,-387,28,19,9,792289
Sri Lanka,0.7272727272727273,341,8,22,16,792291
Sri Lanka,0.7272727272727273,341,8,22,16,792293
India,0.47368421052631576,-387,28,19,9,792295
Australia,0.6923076923076923,302,3,13,9,754723
Sri Lanka,0.7272727272727273,341,8,22,16,792297
Australia,0.6923076923076923,302,3,13,9,754725
Australia,0.6923076923076923,302,3,13,9,754727
Bangladesh,0.0,-374,-21,10,0,760787
South Africa,0.7619047619047619,685,24,21,16,754729
Bangladesh,0.0,-374,-21,10,0,760789
Bangladesh,0.0,-374,-21,10,0,760791
Sri Lanka,0.7272727272727273,341,8,22,16,750663
Bangladesh,0.0,-374,-21,10,0,760793
Afghanistan,0.5,1,-14,8,4,803795
England,0.3333333333333333,-61,-22,15,5,750665
Afghanistan,0.5,1,-14,8,4,803797
Zimbabwe,0.2,-576,2,10,2,760795
England,0.3333333333333333,-61,-22,15,5,750669
New Zealand,0.5,27,1,8,4,742619
Sri Lanka,0.7272727272727273,341,8,22,16,750671
Pakistan,0.42857142857142855,13,-2,14,6,742621
Sri Lanka,0.7272727272727273,341,8,22,16,750673
Pakistan,0.42857142857142855,13,-2,14,6,742623
Sri Lanka,0.7272727272727273,341,8,22,16,750675
New Zealand,0.5,27,1,8,4,742625
New Zealand,0.5,27,1,8,4,742627
Scotland,0.6,170,1,5,3,812623
Sri Lanka,0.6785714285714286,345,6,28,19,749781
Scotland,0.6,170,1,5,3,810829
Scotland,0.6,170,1,5,3,812645
New Zealand,0.6,-33,2,10,6,749783
England,0.3333333333333333,-61,-22,15,5,754751
Afghanistan,0.5,1,-14,8,4,810833
South Africa,0.7058823529411765,253,26,17,12,722341
India,0.6111111111111112,153,34,18,11,754749
Sri Lanka,0.6785714285714286,345,6,28,19,749787
India,0.6111111111111112,153,34,18,11,754753
West Indies,0.6,275,4,10,6,722343
New Zealand,0.6,-33,2,10,6,749789
England,0.3333333333333333,-61,-22,15,5,754755
South Africa,0.7058823529411765,253,26,17,12,722345
New Zealand,0.6,-33,2,10,6,749791
South Africa,0.7058823529411765,253,26,17,12,722347
Sri Lanka,0.6785714285714286,345,6,28,19,749793
India,0.6111111111111112,153,34,18,11,754759
Pakistan,0.42857142857142855,13,-2,14,6,749795
Australia,0.6875,407,-3,16,11,754761
New Zealand,0.6,-33,2,10,6,749797
New Zealand,0.6,-33,2,10,6,656399
Australia,0.6875,407,-3,16,11,656401
South Africa,0.7058823529411765,253,26,17,12,656403
India,0.6111111111111112,153,34,18,11,656405
West Indies,0.6,275,4,10,6,656407
Scotland,0.6,170,1,5,3,656409
Bangladesh,0.35714285714285715,-61,-16,14,5,656411
England,0.3157894736842105,-315,-14,19,6,656415
West Indies,0.6,275,4,10,6,656417
India,0.6111111111111112,153,34,18,11,656423
Afghanistan,0.46153846153846156,-78,-17,13,6,656421
England,0.3157894736842105,-315,-14,19,6,656425
United Arab Emirates,0.75,-70,13,4,3,656429
Sri Lanka,0.6785714285714286,345,6,28,19,656433
Scotland,0.6,170,1,5,3,656431
South Africa,0.7058823529411765,253,26,17,12,656435
United Arab Emirates,0.75,-70,13,4,3,656439
Australia,0.6875,407,-3,16,11,656437
Pakistan,0.3125,-158,-14,16,5,656443
England,0.3157894736842105,-315,-14,19,6,656441
South Africa,0.7058823529411765,253,26,17,12,656445
Australia,0.6875,407,-3,16,11,656449
Pakistan,0.3125,-158,-14,16,5,656447
Scotland,0.6,170,1,5,3,656451
West Indies,0.6,275,4,10,6,656453
