country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
West Indies,0.16666666666666666,-185,-16,12,2,439144
West Indies,0.2631578947368421,-329,-12,19,5,439148
West Indies,0.2631578947368421,-329,-12,19,5,439149
Zimbabwe,0.17647058823529413,-376,-42,17,3,452146
South Africa,0.5,283,-9,10,5,439150
India,0.56,8,27,25,14,452147
Sri Lanka,0.5263157894736842,-93,12,19,10,452148
South Africa,0.5,283,-9,10,5,439151
Zimbabwe,0.17647058823529413,-376,-42,17,3,452149
Sri Lanka,0.5263157894736842,-93,12,19,10,452150
Zimbabwe,0.17647058823529413,-376,-42,17,3,452151
Sri Lanka,0.5263157894736842,-93,12,19,10,452152
Pakistan,0.29411764705882354,48,-21,17,5,455231
India,0.56,8,27,25,14,455232
Bangladesh,0.4782608695652174,-159,-8,23,11,455233
India,0.56,8,27,25,14,455234
Bangladesh,0.4782608695652174,-159,-8,23,11,455235
Sri Lanka,0.5263157894736842,-93,12,19,10,455236
England,0.47058823529411764,-199,2,17,8,426387
England,0.47058823529411764,-199,2,17,8,426388
Sri Lanka,0.5263157894736842,-93,12,19,10,455237
England,0.47058823529411764,-199,2,17,8,426389
England,0.47058823529411764,-199,2,17,8,426390
England,0.47058823529411764,-199,2,17,8,426391
Ireland,0.0,0,0,0,0,450379
England,0.47058823529411764,-199,2,17,8,426403
England,0.47058823529411764,-199,2,17,8,426404
Bangladesh,0.4782608695652174,-159,-8,23,11,426405
India,0.5483870967741935,69,25,31,17,456662
Sri Lanka,0.5652173913043478,210,16,23,13,456664
India,0.5483870967741935,69,25,31,17,456663
Scotland,0.0,0,0,0,0,450501
Sri Lanka,0.5652173913043478,210,16,23,13,456666
New Zealand,0.625,71,-4,16,10,456665
India,0.5483870967741935,69,25,31,17,456668
Pakistan,0.26666666666666666,-71,-12,15,4,426428
England,0.5909090909090909,-137,23,22,13,426429
England,0.5909090909090909,-137,23,22,13,426430
England,0.5909090909090909,-137,23,22,13,426431
Pakistan,0.26666666666666666,-71,-12,15,4,426432
Bangladesh,0.23809523809523808,-595,-43,21,5,476598
New Zealand,0.6666666666666666,225,1,12,8,476599
Zimbabwe,0.29411764705882354,-396,-22,17,5,463143
South Africa,0.6666666666666666,389,-6,12,8,463144
New Zealand,0.6666666666666666,225,1,12,8,476600
India,0.5161290322580645,47,10,31,16,464529
Zimbabwe,0.29411764705882354,-396,-22,17,5,463145
South Africa,0.6666666666666666,389,-6,12,8,461566
Pakistan,0.26666666666666666,-71,-12,15,4,461567
Pakistan,0.26666666666666666,-71,-12,15,4,461568
Sri Lanka,0.6363636363636364,132,27,22,14,446957
Pakistan,0.26666666666666666,-71,-12,15,4,461569
Australia,0.7083333333333334,643,10,24,17,446959
Pakistan,0.26666666666666666,-71,-12,15,4,461570
New Zealand,0.6666666666666666,225,1,12,8,467883
Bangladesh,0.23809523809523808,-595,-43,21,5,486520
India,0.5161290322580645,47,10,31,16,467884
Bangladesh,0.23809523809523808,-595,-43,21,5,486522
India,0.5161290322580645,47,10,31,16,467885
Zimbabwe,0.29411764705882354,-396,-22,17,5,486523
India,0.5161290322580645,47,10,31,16,467886
India,0.5161290322580645,47,10,31,16,467887
Bangladesh,0.2727272727272727,-527,-43,22,6,486526
India,0.6086956521739131,16,19,23,14,463150
South Africa,0.7333333333333333,415,22,15,11,463151
Australia,0.6666666666666666,711,12,21,14,446962
India,0.6086956521739131,16,19,23,14,463152
England,0.6875,148,27,16,11,446963
New Zealand,0.35294117647058826,240,-36,17,6,473923
Australia,0.6666666666666666,711,12,21,14,446964
Australia,0.6666666666666666,711,12,21,14,446965
New Zealand,0.35294117647058826,240,-36,17,6,473925
England,0.6875,148,27,16,11,446966
Pakistan,0.2777777777777778,-335,-20,18,5,473926
Australia,0.6666666666666666,711,12,21,14,446967
New Zealand,0.35294117647058826,240,-36,17,6,473927
Pakistan,0.2777777777777778,-335,-20,18,5,473928
England,0.6875,148,27,16,11,446968
West Indies,0.3076923076923077,-233,-4,13,4,464992
Bangladesh,0.4375,-381,-1,16,7,433558
Canada,0.0,0,-5,1,0,433560
Zimbabwe,0.29411764705882354,-531,-29,17,5,433561
England,0.6875,148,27,16,11,433562
Kenya,0.0,0,0,0,0,433563
South Africa,0.7333333333333333,415,22,15,11,433564
Australia,0.6666666666666666,711,12,21,14,433565
Ireland,0.6666666666666666,-39,14,3,2,433566
Sri Lanka,0.6666666666666666,135,14,15,10,433567
Netherlands,0.0,0,-9,1,0,433569
Canada,0.0,0,-5,1,0,433570
Sri Lanka,0.6666666666666666,135,14,15,10,433571
Ireland,0.6666666666666666,-39,14,3,2,433572
Netherlands,0.0,0,-9,1,0,433573
Canada,0.0,0,-5,1,0,433574
West Indies,0.3076923076923077,-233,-4,13,4,433576
New Zealand,0.35294117647058826,240,-36,17,6,433575
India,0.6086956521739131,16,19,23,14,433578
South Africa,0.7333333333333333,415,22,15,11,433579
Canada,0.0,0,-5,1,0,433580
Pakistan,0.2777777777777778,-335,-20,18,5,433581
India,0.6086956521739131,16,19,23,14,433582
Zimbabwe,0.29411764705882354,-531,-29,17,5,433583
Ireland,0.6666666666666666,-39,14,3,2,433584
Bangladesh,0.4375,-381,-1,16,7,433585
South Africa,0.7333333333333333,415,22,15,11,433586
Kenya,0.0,0,0,0,0,433588
Canada,0.0,0,-5,1,0,433587
Bangladesh,0.4375,-381,-1,16,7,433590
Ireland,0.6666666666666666,-39,14,3,2,433591
Australia,0.6666666666666666,711,12,21,14,433592
West Indies,0.3076923076923077,-233,-4,13,4,433593
New Zealand,0.35294117647058826,240,-36,17,6,433594
Ireland,0.6666666666666666,-39,14,3,2,433595
Bangladesh,0.4375,-381,-1,16,7,433597
Pakistan,0.2777777777777778,-335,-20,18,5,433596
Kenya,0.0,0,0,0,0,433598
West Indies,0.3076923076923077,-233,-4,13,4,433599
Pakistan,0.5217391304347826,159,-16,23,12,433600
India,0.6538461538461539,-95,32,26,17,433601
South Africa,0.7368421052631579,838,30,19,14,433602
Sri Lanka,0.6666666666666666,135,14,15,10,433603
Sri Lanka,0.6666666666666666,135,14,15,10,433604
Pakistan,0.5217391304347826,159,-16,23,12,433605
India,0.6538461538461539,-95,32,26,17,433606
Bangladesh,0.4375,-381,-1,16,7,503363
Australia,0.7,443,19,20,14,503364
Bangladesh,0.4375,-381,-1,16,7,503365
Pakistan,0.5217391304347826,159,-16,23,12,489213
Pakistan,0.5217391304347826,159,-16,23,12,489214
Pakistan,0.5217391304347826,159,-16,23,12,489215
West Indies,0.25,51,-16,12,3,489217
India,0.7692307692307693,14,55,26,20,489221
India,0.7692307692307693,14,55,26,20,489223
India,0.7692307692307693,14,55,26,20,489224
West Indies,0.25,51,-16,12,3,489225
England,0.4090909090909091,72,-11,22,9,474468
Sri Lanka,0.7333333333333333,550,16,15,11,474469
Sri Lanka,0.7333333333333333,550,16,15,11,474471
Australia,0.7368421052631579,410,28,19,14,516206
Zimbabwe,0.25,-286,-30,12,3,522246
Zimbabwe,0.25,-286,-30,12,3,522247
Australia,0.7368421052631579,410,28,19,14,516207
Australia,0.7368421052631579,410,28,19,14,516208
Bangladesh,0.5625,-324,9,16,9,522248
Bangladesh,0.5625,-324,9,16,9,522249
Australia,0.7368421052631579,410,28,19,14,516209
Zimbabwe,0.25,-286,-30,12,3,522250
Sri Lanka,0.7333333333333333,550,16,15,11,516210
England,0.38095238095238093,-78,-23,21,8,474478
Zimbabwe,0.25,-286,-30,12,3,523732
Pakistan,0.5769230769230769,7,5,26,15,523733
Zimbabwe,0.25,-286,-30,12,3,523734
Canada,0.16666666666666666,-528,-2,6,1,523804
Canada,0.16666666666666666,-528,-2,6,1,523805
Bangladesh,0.5,-236,-3,20,10,531983
England,0.38095238095238093,-78,-23,21,8,521218
West Indies,0.375,238,-16,16,6,531984
India,0.8095238095238095,-1,55,21,17,521219
Bangladesh,0.5,-236,-3,20,10,531985
India,0.8095238095238095,-1,55,21,17,521220
New Zealand,0.3888888888888889,77,-15,18,7,527014
New Zealand,0.3888888888888889,77,-15,18,7,527015
India,0.8095238095238095,-1,55,21,17,521221
Australia,0.7391304347826086,332,49,23,17,514026
England,0.38095238095238093,-78,-23,21,8,521222
Zimbabwe,0.3333333333333333,-343,-27,18,6,527016
Australia,0.7391304347826086,332,49,23,17,514027
Pakistan,0.7368421052631579,183,25,19,14,530427
Pakistan,0.7368421052631579,183,25,19,14,530428
Sri Lanka,0.6470588235294118,607,8,17,11,530429
Sri Lanka,0.6470588235294118,607,8,17,11,530430
Pakistan,0.7368421052631579,183,25,19,14,530431
India,0.8,180,62,25,20,536929
Pakistan,0.7368421052631579,183,25,19,14,538069
India,0.8,180,62,25,20,536930
