batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score
Abdul Razzaq,Pakistan,331,1.0408805031446542,30.09090909090909,1.4298806362492829,2.935081260844635,2,0.17246376811594202,1.5461225527587086,0.033666199899943,3.5631768060201
Tamim Iqbal,Bangladesh,695,0.9693165969316597,34.75,1.2643942209159602,2.417552651743378,2,0.11578171091445427,1.2881542351453856,0.031369743457656606,3.5321131604458076
KD Karthik,India,455,0.7422512234910277,28.4375,3.299004538134973,2.613338530481735,1,0.07423038728897716,0.8909625951671631,0.04391505237151476,3.5210939096756517
DPMD Jayawardene,Sri Lanka,445,0.7834507042253521,34.23076923076923,3.1792930482458965,2.7323193371966834,0,0.1387981711299804,0.9400906898457518,0.031356966989518724,3.4663602265973097
CH Gayle,West Indies,411,0.9340909090909091,31.615384615384617,1.5858432012749222,2.434153056489871,1,0.3068181818181818,1.2954545454545456,0.04027187515054054,3.450394779858384
Mohammad Shahzad,Afghanistan,111,1.3214285714285714,55.5,1.7111962338539188,1.626689191600398,0,0.45454545454545453,1.1706102117061021,0.01589004002666399,3.3831934430744037
TT Samaraweera,Sri Lanka,296,0.7935656836461126,29.6,3.1792930482458965,2.534895776816097,1,0.0829523187459177,1.0109275661699728,0.03416954008723609,3.381519261287084
AD Mathews,Sri Lanka,274,0.791907514450867,30.444444444444443,3.1792930482458965,2.7065270609151115,1,0.057152188112344876,1.0014428185655655,0.03103065489668557,3.3651247342611685
JP Duminy,South Africa,418,0.8950749464668094,38.0,3.131122172150953,1.5461349721135362,1,0.1058405937399161,0.9235954250475064,0.02761630240697174,3.3422900601452326
NLTC Perera,Sri Lanka,102,1.0303030303030303,12.75,3.1792930482458965,3.0451347409872858,1,0.015676028739386023,1.577456377717645,0.07379262837920621,3.3343667791291978
LL Tsotsobe,South Africa,4,2.0,4.0,3.131122172150953,1.5858432012749222,1,0.0012907389480477573,2.0780897063568893,0.0,3.3079223241241773
BJ Haddin,Australia,333,0.8763157894736842,27.75,3.368462523392101,1.8228543462940043,1,0.07542147293700088,1.0323314108251995,0.03386030199322293,3.296845677767635
Karim Sadiq,Afghanistan,114,1.0363636363636364,57.0,1.7111962338539188,1.626689191600398,0,0.5181818181818182,0.893744787322769,0.012405382126079782,3.2966401109808037
SPD Smith,Australia,106,0.9636363636363636,21.2,3.368462523392101,3.005882929979685,0,0.009760425909494233,1.8321713778679172,0.08713790464962658,3.266896755300698
RA Jadeja,India,334,0.7625570776255708,25.692307692307693,3.299004538134973,2.499168818030642,1,0.01737835153922542,0.8788759581803778,0.05347281880786921,3.235425972331743
Yuvraj Singh,India,349,0.6789883268482491,24.928571428571427,3.299004538134973,2.2987763683523927,1,0.05114200595829196,0.7750510734621955,0.043921407557905225,3.1751905949136185
RJ Harris,Australia,15,0.9375,2.25,3.368462523392101,1.8520337185466549,3,0.004140786749482402,1.1659272404614018,0.7947194142390264,3.1697404319840055
JDP Oram,New Zealand,109,1.626865671641791,36.333333333333336,1.7315254917466654,1.9425976599889647,1,0.07389830508474576,1.8419428282317227,0.02473601187539936,3.1681891969317144
SB Styris,New Zealand,420,0.8484848484848485,38.18181818181818,1.7315254917466654,3.307064762306092,0,0.13084745762711864,1.109214488514153,0.0397601385239856,3.1508973328068666
SM Davies,England,197,1.0368421052631578,39.4,2.962530400413132,1.4298806362492829,1,0.046611688777339545,1.3737500497988129,0.03381970077610994,3.12723856580124
Shakib Al Hasan,Bangladesh,631,0.7761377613776138,27.434782608695652,1.2643942209159602,2.328070848265546,1,0.1836283185840708,1.1997460949100196,0.034046087880813675,3.126853809024034
CA Ingram,South Africa,288,0.9113924050632911,41.142857142857146,3.131122172150953,1.3439519374464084,1,0.05195224265892223,0.9898592979983999,0.020123224780162388,3.1068260192137314
C Kieswetter,England,251,0.8019169329073482,22.818181818181817,2.962530400413132,2.2207889038596607,1,0.07457870204374328,0.9533494321495375,0.03279898746914148,3.0618684723368785
DF Watts,Scotland,110,0.5913978494623656,55.0,1.626689191600398,1.7111962338539188,0,0.5,1.0048543689320388,1.0,3.0412750058478637
PD Collingwood,England,462,0.6834319526627219,30.8,2.962530400413132,2.0098800324968935,0,0.12119039082108282,0.7872428856806258,0.03732263902653613,3.019553561585131
SE Marsh,Australia,313,0.7097505668934241,31.3,3.368462523392101,1.976191757059026,0,0.0834072759538598,0.8744454303460514,0.041060846844991915,2.990984131455465
LD Chandimal,Sri Lanka,143,0.8511904761904762,35.75,3.1792930482458965,1.6715987773631595,1,0.04474199869366427,1.0166536735424876,0.019867005100302076,2.9885782074415674
SL Malinga,Sri Lanka,86,0.9247311827956989,17.2,3.1792930482458965,2.952962951860686,0,0.023514043109079032,1.3802743305029392,0.044824574906758785,2.986675510767796
TD Paine,Australia,262,0.6208530805687204,25.857142857142858,3.368462523392101,2.813928534496508,0,0.04939367051168293,0.7080358151165604,0.05734046219711578,2.974159541160855
RS Bopara,England,103,1.4109589041095891,25.75,2.962530400413132,1.3885090324159521,0,0.03442093940480459,1.888997415956776,0.05764702225391905,2.9575386614776455
S Randiv,Sri Lanka,151,0.6741071428571429,16.77777777777778,3.1792930482458965,3.0733424962259175,1,0.011430437622468974,0.6193538662513188,0.05160920377389862,2.9525996866188033
Z Khan,India,18,1.3846153846153846,6.0,3.299004538134973,3.179293048245897,1,0.0,0.0,0.11470786693528087,2.9357874580677565
