bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
PP Ojha,India,-0.7424242424242424,3,0.75,0.02040816326530612,2,3.6967984535690133,2.3763869835574303,0.012195121951219513,0.17346938775510204,3.5083648449680878
Alok Kapali,Bangladesh,-1.032,9,1.2857142857142858,0.03488372093023256,1,0.7978609625668449,3.3135773321996473,0.1111111111111111,0.2,3.4974495582292406
JE Taylor,West Indies,-0.7575,11,1.5714285714285714,0.036303630363036306,1,1.1489262410949157,3.1181528177311315,0.0625,0.14285714285714285,3.475433249775387
DL Vettori,New Zealand,-0.5824175824175825,5,1.0,0.031446540880503145,4,2.279844646651876,1.9434912142743468,0.07352941176470588,0.125,3.4308067225772074
CRD Fernando,Sri Lanka,-0.8683127572016461,5,1.0,0.023696682464454975,3,2.9025623238876253,2.3714408709423807,0.022222222222222223,0.1423948220064725,3.422012704089243
Fawad Alam,Pakistan,-0.9084967320261438,4,0.4444444444444444,0.014388489208633094,8,3.5317634173055863,1.6905896580078472,0.022727272727272728,0.07048872180451128,3.418414784686576
P Utseya,Zimbabwe,-0.7161016949152542,2,0.3333333333333333,0.011834319526627219,1,1.2943056140646505,3.0284025425712175,0.16666666666666666,0.3,3.416165622384874
Sohail Khan,Pakistan,-0.7837837837837838,4,1.3333333333333333,0.034482758620689655,3,3.5317634173055863,0.9633425130661134,0.01818181818181818,0.15037593984962405,3.415023803385698
GP Swann,England,-0.8208955223880597,8,1.3333333333333333,0.03636363636363636,1,1.9434912142743468,2.5160036144713986,0.03571428571428571,0.2,3.4103088331338705
MF Maharoof,Sri Lanka,-0.7883817427385892,5,1.0,0.02631578947368421,3,2.9025623238876253,2.1461388633483973,0.022222222222222223,0.1423948220064725,3.389598362972179
SB Styris,New Zealand,-0.75625,4,1.0,0.03305785123966942,3,2.279844646651876,1.9434912142743468,0.07352941176470588,0.16666666666666669,3.3841208511753123
T Mupariwa,Zimbabwe,-0.6739130434782609,11,2.2,0.07096774193548387,0,1.2943056140646505,3.0284025425712175,0.0,0.0,3.344824288079403
ST Jayasuriya,Sri Lanka,-0.797752808988764,3,0.3333333333333333,0.02112676056338028,4,2.9025623238876253,3.2957104580295034,0.016666666666666666,0.08009708737864078,3.335698220279425
GD Elliott,New Zealand,-0.5531914893617021,2,1.0,0.07692307692307693,2,2.279844646651876,1.9434912142743468,0.029411764705882353,0.1,3.244067527398266
TM Dilshan,Sri Lanka,-0.6288659793814433,2,0.5,0.03278688524590164,1,2.9025623238876253,2.847507716077647,0.005555555555555556,0.10679611650485438,3.125667409955753
JH Kallis,South Africa,-0.7903225806451613,5,0.625,0.034013605442176874,5,2.903333848213366,1.4393019040963762,0.023255813953488372,0.0627906976744186,3.1233413302563258
Mansoor Amjad,Pakistan,-0.9375,1,1.0,0.022222222222222223,0,3.5317634173055863,2.9025623238876253,0.0,0.0,3.104763487624915
JP Duminy,South Africa,-0.7333333333333333,3,1.0,0.05454545454545454,3,2.903333848213366,0.7978609625668449,0.023255813953488372,0.10465116279069768,3.0755924140143063
MDK Perera,Sri Lanka,-0.6666666666666666,1,0.5,0.03571428571428571,1,2.9025623238876253,3.4238887372740168,0.0,0.0,3.0555701667841313
LS Baker,West Indies,-0.7304347826086957,4,2.0,0.047619047619047616,0,1.1489262410949157,3.5317634173055863,0.0,0.0,3.0415526263764043
Mashrafe Mortaza,Bangladesh,-0.8548185231539425,14,0.875,0.020497803806734993,1,0.7978609625668449,3.2680318166012245,0.05555555555555555,0.1,3.0347709617253065
RG Sharma,India,-0.7012987012987013,0,0.0,0.0,4,3.6967984535690133,2.9439651067361914,0.0,0.0,3.0184780225194805
Shahadat Hossain,Bangladesh,-1.121212121212121,13,1.0,0.02066772655007949,1,0.7978609625668449,3.2930842582518856,0.05555555555555555,0.1,3.0107550290587937
MS Gony,India,-0.9629629629629629,2,1.0,0.02564102564102564,2,3.6967984535690133,0.7978609625668449,0.008130081300813009,0.11564625850340136,3.0107398493683073
JM Anderson,England,-0.8507795100222717,6,0.6,0.015706806282722512,4,1.9434912142743468,2.7502821685037504,0.03571428571428571,0.05,3.0094981006300627
Naeem Islam,Bangladesh,-1.0333333333333334,3,3.0,0.04838709677419355,0,0.7978609625668449,2.903333848213366,0.0,0.0,3.008170671888176
PL Harris,South Africa,-0.48633879781420764,3,1.0,0.033707865168539325,3,2.903333848213366,0.7978609625668449,0.023255813953488372,0.10465116279069768,3.004635568804566
Mahmudullah,Bangladesh,-0.8895966029723992,4,0.36363636363636365,0.00954653937947494,1,0.7978609625668449,3.400851766242024,0.1111111111111111,0.2,2.967931035121017
JDP Oram,New Zealand,-0.6206896551724138,2,0.6666666666666666,0.022222222222222223,3,2.279844646651876,1.9434912142743468,0.04411764705882353,0.1,2.950425261107966
