country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
Afghanistan,0.6428571428571429,231,24,14,9,1150148
Sri Lanka,0.23529411764705882,-520,-30,17,4,1153243
Pakistan,0.7692307692307693,493,36,13,10,1153244
Sri Lanka,0.23529411764705882,-520,-30,17,4,1153245
Hong Kong,0.25,-124,-4,4,1,1153246
India,0.7222222222222222,287,36,18,13,1153247
Bangladesh,0.375,-129,-12,8,3,1153248
India,0.7222222222222222,287,36,18,13,1153249
Pakistan,0.7692307692307693,493,36,13,10,1153250
India,0.7222222222222222,287,36,18,13,1153251
Afghanistan,0.6428571428571429,231,24,14,9,1153252
Pakistan,0.7692307692307693,493,36,13,10,1153254
India,0.7222222222222222,287,36,18,13,1153255
South Africa,0.5,7,-4,12,6,1144146
Zimbabwe,0.2777777777777778,-603,-51,18,5,1144147
South Africa,0.5,7,-4,12,6,1144148
England,0.7777777777777778,398,21,18,14,1140381
Zimbabwe,0.2777777777777778,-603,-51,18,5,1153635
India,0.7222222222222222,287,36,18,13,1157754
Bangladesh,0.42857142857142855,-65,-19,14,6,1153636
Bangladesh,0.42857142857142855,-65,-19,14,6,1153637
India,0.7222222222222222,287,36,18,13,1157756
West Indies,0.45454545454545453,-155,-5,11,5,1157757
India,0.7222222222222222,287,36,18,13,1157758
South Africa,0.5,7,-4,12,6,1144986
Pakistan,0.7692307692307693,493,36,13,10,1157378
Pakistan,0.7692307692307693,493,36,13,10,1157379
South Africa,0.5,7,-4,12,6,1144987
Australia,0.1,-308,-16,10,1,1144988
Bangladesh,0.6470588235294118,307,2,17,11,1153314
West Indies,0.45454545454545453,-155,-5,11,5,1153315
Bangladesh,0.6470588235294118,307,2,17,11,1153316
Sri Lanka,0.3333333333333333,-224,-1,12,4,1153840
Sri Lanka,0.3333333333333333,-224,-1,12,4,1153841
Sri Lanka,0.3333333333333333,-224,-1,12,4,1153842
India,0.8235294117647058,318,67,17,14,1144997
India,0.8235294117647058,318,67,17,14,1144998
India,0.8235294117647058,318,67,17,14,1144999
Pakistan,0.6153846153846154,477,18,13,8,1144156
South Africa,0.5333333333333333,-144,1,15,8,1144157
New Zealand,0.6666666666666666,307,-6,12,8,1153692
United Arab Emirates,0.25,-55,-5,4,1,1170455
Pakistan,0.6153846153846154,477,18,13,8,1144159
India,0.8235294117647058,318,67,17,14,1153693
Nepal,0.0,-78,0,1,0,1170456
South Africa,0.5333333333333333,-144,1,15,8,1144160
New Zealand,0.6666666666666666,307,-6,12,8,1153694
New Zealand,0.6666666666666666,307,-6,12,8,1153695
New Zealand,0.6666666666666666,307,-6,12,8,1153844
New Zealand,0.6666666666666666,307,-6,12,8,1153845
England,0.7857142857142857,370,22,14,11,1158066
Bangladesh,0.6666666666666666,132,13,15,10,1153846
England,0.7857142857142857,370,22,14,11,1158067
West Indies,0.4375,-132,-26,16,7,1158069
Afghanistan,0.6153846153846154,251,15,13,8,1168115
India,0.8235294117647058,318,67,17,14,1168242
