match_id,match_date,team,opponent,location,runs_scored,opponent_base,opponent_trend,opponent_trend_predict,opponent_mean,location_base,location_trend,location_trend_predict,location_mean,current_base,current_trend,current_trend_predict,current_mean,is_train,noise
817207,2015-07-10,Bangladesh,South Africa,Mirpur,160,268.5,-32.900000000000006,103.99999999999997,186.25,207.20000000000002,23.800000000000004,350.0,278.6,252.99999999999997,13.400000000000004,333.4,293.2,True,False
885959,2015-07-10,India,Zimbabwe,Harare Sports Club,255,248.66666666666669,4.500000000000003,266.6666666666667,257.6666666666667,152.00000000000006,49.99999999999998,352.0,252.0,214.39999999999998,23.600000000000005,356.0,285.2,True,False
860269,2015-07-11,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,255,236.9,11.300000000000002,304.70000000000005,270.8,232.4,6.200000000000002,269.6,251.0,341.2,-21.000000000000004,215.19999999999996,278.2,True,False
885965,2015-07-12,India,Zimbabwe,Harare Sports Club,271,254.5,1.0000000000000004,259.5,257.0,200.5,20.900000000000006,305.0,252.75,320.2,-8.000000000000002,272.2,296.2,True,False
817209,2015-07-12,South Africa,Bangladesh,Mirpur,162,282.0,0.9999999999999997,285.0,283.5,284.0,0.0,284.0,284.0,362.4,3.2,381.59999999999997,372.0,True,False
885967,2015-07-14,India,Zimbabwe,Harare Sports Club,276,249.9,3.300000000000001,269.7,259.8,214.09999999999997,14.100000000000007,298.7,256.4,326.09999999999997,-11.900000000000002,254.69999999999996,290.4,True,False
860271,2015-07-15,Pakistan,Sri Lanka,Pallekele International Cricket Stadium,287,337.6,-17.6,232.0,284.8,250.5,10.9,315.9,283.2,250.5,10.9,315.9,283.2,True,False
860273,2015-07-19,Pakistan,Sri Lanka,Colombo,316,295.8,-6.000000000000002,259.8,277.8,334.5,-24.300000000000004,188.7,261.6,187.59999999999997,28.40000000000001,358.0,272.8,True,False
860275,2015-07-22,Sri Lanka,Pakistan,Colombo,256,233.10000000000002,10.9,298.5,265.8,269.7,9.900000000000002,329.1,299.4,352.9,-26.300000000000004,195.09999999999997,274.0,True,False
860277,2015-07-26,Sri Lanka,Pakistan,Hambantota,368,262.09999999999997,2.100000000000001,274.7,268.4,281.0,1.1999999999999995,287.0,284.0,345.8,-26.000000000000004,189.79999999999998,267.8,True,False
894287,2015-08-02,New Zealand,Zimbabwe,Harare Sports Club,303,265.5,25.90000000000001,395.00000000000006,330.25,381.40000000000003,-18.800000000000004,268.6,325.0,381.40000000000003,-18.800000000000004,268.6,325.0,True,False
894289,2015-08-04,Zimbabwe,New Zealand,Harare Sports Club,235,120.33333333333337,48.499999999999986,314.3333333333333,217.33333333333334,251.29999999999998,-8.700000000000001,199.09999999999997,225.2,181.0,13.600000000000001,262.6,221.8,True,False
894291,2015-08-07,New Zealand,Zimbabwe,Harare Sports Club,273,302.3,7.500000000000001,347.3,324.8,303.0,0.0,303.0,303.0,341.8,-10.000000000000004,281.8,311.8,True,False
848843,2015-08-19,South Africa,New Zealand,Centurion,304,156.49999999999997,26.60000000000001,289.5,223.0,377.0,-17.400000000000006,290.0,333.5,458.5,-42.100000000000016,205.89999999999992,332.2,True,False
848845,2015-08-23,South Africa,New Zealand,Potchefstroom,204,150.69999999999996,29.50000000000001,327.70000000000005,239.2,283.0,0.0,283.0,283.0,462.3,-45.7,188.09999999999997,325.2,True,False
848847,2015-08-26,South Africa,New Zealand,Durban,283,215.6,8.600000000000003,267.20000000000005,241.4,260.0,-1.5000000000000027,252.5,256.25,419.7,-45.1,149.09999999999997,284.4,True,False
743977,2015-09-03,Australia,England,Southampton,305,209.39999999999998,21.000000000000004,335.4,272.4,236.00000000000003,30.999999999999986,329.0,282.5,263.7,19.700000000000006,381.90000000000003,322.8,True,False
743979,2015-09-05,Australia,England,London,309,246.3,13.900000000000002,329.70000000000005,288.0,262.4,1.0,268.4,265.4,249.7,21.9,381.09999999999997,315.4,True,False
743981,2015-09-08,England,Australia,Manchester,300,280.09999999999997,-0.2999999999999999,278.29999999999995,279.2,268.0,0.0,268.0,268.0,150.09999999999997,46.30000000000001,427.90000000000003,289.0,True,False
743983,2015-09-11,Australia,England,Leeds,299,226.89999999999998,21.100000000000005,353.5,290.2,433.1,-28.70000000000001,260.9,347.0,433.1,-28.70000000000001,260.9,347.0,True,False
743985,2015-09-13,England,Australia,Manchester,138,248.89999999999998,10.100000000000001,309.5,279.2,236.0,31.99999999999999,332.0,284.0,328.29999999999995,-1.3000000000000005,320.49999999999994,324.4,True,False
919607,2015-10-01,Pakistan,Zimbabwe,Harare Sports Club,259,223.20000000000002,19.8,342.0,282.6,262.0,2.500000000000001,274.5,268.25,236.09999999999997,19.100000000000005,350.7,293.4,True,False
919611,2015-10-05,Zimbabwe,Pakistan,Harare Sports Club,161,218.89999999999998,4.100000000000001,243.5,231.2,247.6,-6.800000000000002,206.79999999999998,227.2,132.59999999999997,28.000000000000004,300.6,216.6,True,False
919613,2015-10-09,Ireland,Zimbabwe,Harare Sports Club,219,331.0,0.0,331.0,331.0,227.6,8.8,280.4,254.0,227.6,8.8,280.4,254.0,True,False
919615,2015-10-11,Ireland,Zimbabwe,Harare Sports Club,268,442.9999999999999,-111.99999999999994,107.00000000000006,275.0,219.0,0.0,219.0,219.0,298.79999999999995,-13.800000000000002,215.99999999999994,257.4,True,False
903593,2015-10-11,South Africa,India,Kanpur,303,332.7,-10.100000000000003,272.09999999999997,302.4,281.0,-7.4,236.6,258.8,281.0,-7.4,236.6,258.8,True,False
919617,2015-10-13,Zimbabwe,Ireland,Harare Sports Club,187,303.0,0.0,303.0,303.0,269.9,-18.900000000000006,156.49999999999994,213.2,211.60000000000002,1.4000000000000008,220.00000000000003,215.8,True,False
903595,2015-10-14,India,South Africa,Indore,247,319.1,-4.699999999999998,290.90000000000003,305.0,166.00000000000003,125.99999999999999,544.0,355.0,313.6,-9.800000000000002,254.8,284.2,True,False
924627,2015-10-16,Afghanistan,Zimbabwe,Bulawayo,122,253.0,2.9999999999999996,262.0,257.5,253.0,2.9999999999999996,262.0,257.5,290.0,-17.200000000000003,186.79999999999998,238.4,True,False
903597,2015-10-18,South Africa,India,Rajkot,270,263.6,8.800000000000002,316.40000000000003,290.0,172.89999999999998,26.100000000000005,329.5,251.2,172.89999999999998,26.100000000000005,329.5,251.2,True,False
924629,2015-10-18,Afghanistan,Zimbabwe,Bulawayo,271,346.3333333333333,-66.99999999999999,78.33333333333337,212.33333333333334,346.3333333333333,-66.99999999999999,78.33333333333337,212.33333333333334,326.0,-37.60000000000001,100.39999999999995,213.2,True,False
924633,2015-10-22,Zimbabwe,Afghanistan,Bulawayo,184,261.0,0.0,261.0,261.0,171.7,4.900000000000001,201.1,186.4,319.70000000000005,-30.700000000000006,135.5,227.6,True,False
903599,2015-10-22,India,South Africa,Chennai,299,236.7,12.500000000000005,311.70000000000005,274.2,288.5,-12.400000000000006,226.49999999999997,257.5,308.9,-11.9,237.49999999999997,273.2,True,False
903601,2015-10-25,South Africa,India,Mumbai,438,272.7,4.5,299.7,286.2,263.5,3.1000000000000005,282.1,272.8,263.5,3.1000000000000005,282.1,272.8,True,False
931390,2015-11-07,Bangladesh,Zimbabwe,Mirpur,273,256.2,3.4000000000000004,276.59999999999997,266.4,336.70000000000005,-22.300000000000004,202.90000000000003,269.8,335.1,-21.10000000000001,208.49999999999997,271.8,True,False
931392,2015-11-09,Bangladesh,Zimbabwe,Mirpur,241,274.90000000000003,-1.1000000000000003,268.3,271.6,305.5,-13.500000000000004,224.49999999999997,265.0,331.1,-19.900000000000006,211.7,271.4,True,False
902641,2015-11-11,England,Pakistan,Abu Dhabi,216,277.0,-6.800000000000002,243.0,260.0,270.0,-9.999999999999996,240.0,255.0,426.40000000000003,-45.00000000000002,156.39999999999992,291.4,True,False
931394,2015-11-11,Bangladesh,Zimbabwe,Mirpur,276,276.8,-4.400000000000001,250.4,263.6,325.0,-21.000000000000004,198.99999999999997,262.0,325.0,-21.000000000000004,198.99999999999997,262.0,True,False
902643,2015-11-13,England,Pakistan,Abu Dhabi,283,287.8,-12.200000000000005,214.59999999999997,251.2,286.0,-21.99999999999999,198.00000000000006,242.0,437.20000000000005,-54.80000000000001,108.39999999999998,272.8,True,False
902645,2015-11-17,Pakistan,England,Sharjah Cricket Stadium,208,291.70000000000005,-13.300000000000002,211.90000000000003,251.8,250.60000000000002,17.000000000000004,352.6,301.6,309.7,-4.1000000000000005,285.09999999999997,297.4,True,False
