batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
RD Berrington,Scotland,337,1.0125,67.4,3,1,0.3751522533495737,1.092661388550548,656451
MN Samuels,West Indies,555,1.0432330827067668,57.166666666666664,5,1,0.2337748344370861,1.3440782635896713,656453
PR Stirling,Ireland,291,1.1241830065359477,42.666666666666664,6,1,0.16445623342175067,1.2912163698370596,656457
Usman Ghani,Afghanistan,471,0.9064171122994652,39.5,8,1,0.19797979797979798,1.2213633339381842,656459
SPD Smith,Australia,641,1.0596026490066226,49.30769230769231,5,4,0.20351845463953086,1.2414270640991825,656461
Tamim Iqbal,Bangladesh,607,1.2028985507246377,43.357142857142854,6,1,0.18849557522123894,1.4945748364755675,656463
PR Stirling,Ireland,291,1.1241830065359477,42.666666666666664,6,1,0.16445623342175067,1.2912163698370596,656465
TM Dilshan,Sri Lanka,1158,1.1772151898734178,48.25,8,5,0.18380931930427313,1.4863255704999316,656467
RR Rossouw,South Africa,862,1.1340482573726542,56.4,4,3,0.2083897158322057,1.3657080709916236,656469
Tamim Iqbal,Bangladesh,607,1.2028985507246377,43.357142857142854,6,1,0.18849557522123894,1.4945748364755675,656471
Sikandar Raza,Zimbabwe,637,0.8615984405458089,35.388888888888886,7,1,0.296875,1.6126598011363635,656475
RD Berrington,Scotland,336,0.7547169811320755,33.6,6,1,0.27313769751693,1.4234578707329433,656477
PR Stirling,Ireland,291,1.1241830065359477,42.666666666666664,6,1,0.16445623342175067,1.2912163698370596,656481
Shaiman Anwar,United Arab Emirates,215,0.8421052631578947,53.75,2,1,0.2921875,1.1778808593749999,656479
TM Dilshan,Sri Lanka,1659,1.3636363636363635,54.86206896551724,9,6,0.24456399910334006,1.8727898194609693,656483
V Kohli,India,909,1.089866156787763,63.333333333333336,9,2,0.22159237309971658,1.1864394301910406,656485
Sohaib Maqsood,Pakistan,610,1.4901960784313726,38.125,6,1,0.25309734513274335,1.804052535468465,656487
MJ Guptill,New Zealand,753,1.3425,68.45454545454545,8,4,0.25875251509054326,1.6251819505094616,656489
SPD Smith,Australia,641,1.0596026490066226,49.30769230769231,5,4,0.20351845463953086,1.2414270640991825,656493
MJ Guptill,New Zealand,753,1.3425,68.45454545454545,8,4,0.25875251509054326,1.6251819505094616,656495
Tamim Iqbal,Bangladesh,607,1.2028985507246377,43.357142857142854,6,1,0.18849557522123894,1.4945748364755675,858485
Wahab Riaz,Pakistan,373,0.972972972972973,72.0,5,1,0.11664190193164933,1.6314159292035397,858487
Wahab Riaz,Pakistan,300,1.1355932203389831,72.0,5,1,0.10973451327433628,1.6314159292035397,858489
Mohammad Hafeez,Pakistan,588,0.972972972972973,72.0,8,1,0.1664190193164933,1.0081892476023233,868727
V Sibanda,Zimbabwe,712,0.88,35.6,8,1,0.296875,1.3615248771498771,868729
JE Root,England,782,0.8918406072106262,43.44444444444444,6,2,0.19352014010507881,1.5927845884413312,743943
JE Root,England,782,1.38,69.0,6,2,0.19352014010507881,1.5927845884413312,743947
MJ Guptill,New Zealand,1144,1.3443396226415094,54.476190476190474,9,5,0.2253748558246828,1.5790509512355126,743949
Tamim Iqbal,Bangladesh,821,1.0606060606060606,48.294117647058826,9,2,0.23866959064327486,1.332249445452712,870731
V Kohli,India,1014,1.046875,67.0,10,2,0.20710343172546197,1.1730350644113419,870735
Tamim Iqbal,Bangladesh,821,1.0606060606060606,48.294117647058826,9,2,0.23866959064327486,1.302218060357707,817207
STR Binny,India,770,1.2307692307692308,38.25,9,2,0.1285203397407242,1.791243367197291,885959
TM Dilshan,Sri Lanka,1344,1.346938775510204,51.69230769230769,9,4,0.24885914207484028,1.7710538016896398,860269
STR Binny,India,770,1.2307692307692308,38.25,9,2,0.1285203397407242,1.791243367197291,885965
RR Rossouw,South Africa,1298,1.1057692307692308,54.083333333333336,9,3,0.2149781410378255,1.2307731234741308,817209
STR Binny,India,770,0.8974358974358975,35.0,9,2,0.1285203397407242,0.9301319303554441,885967
Shoaib Malik,Pakistan,650,1.4195804195804196,68.5,8,2,0.14612281488121917,1.5252058564474522,860271
Shoaib Malik,Pakistan,650,1.4195804195804196,68.5,8,2,0.14612281488121917,1.5252058564474522,860273
