batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
Younis Khan,Pakistan,528,1.0294117647058822,52.5,5,2,0.21808785529715763,1.1368749050007598,392616
SR Watson,Australia,432,0.9209039548022598,43.142857142857146,4,1,0.11258529188779379,1.1020463222889303,392617
Younis Khan,Pakistan,528,1.0095238095238095,47.45454545454545,5,2,0.21808785529715763,1.2648253599796888,392618
SR Watson,Australia,432,0.8908554572271387,43.142857142857146,4,1,0.11258529188779379,1.0577807823033445,392619
Younis Khan,Pakistan,522,0.9738372093023255,47.45454545454545,5,2,0.21085271317829457,1.1016925380489377,392620
RS Bopara,England,368,0.832579185520362,54.0,4,0,0.13744075829383887,1.0818909554343064,380715
S Chanderpaul,West Indies,485,0.8755868544600939,60.625,5,1,0.3670886075949367,1.2303579223046703,380716
S Chanderpaul,West Indies,531,0.9449035812672176,53.1,4,1,0.45161290322580644,1.2419354838709677,377313
S Chanderpaul,West Indies,531,0.9449035812672176,53.1,4,1,0.45161290322580644,1.2419354838709677,377314
NO Miller,West Indies,37,0.9047619047619048,19.0,3,0,0.02558139534883721,1.3251162790697675,401073
Tamim Iqbal,Bangladesh,335,0.8958333333333334,41.875,5,1,0.3760504201680672,1.479431892517486,401074
Younis Khan,Pakistan,276,0.9691358024691358,30.666666666666668,3,1,0.20934411500449238,1.5157232704402517,403370
Tamim Iqbal,Bangladesh,335,0.8958333333333334,41.875,5,1,0.3760504201680672,1.479431892517486,401075
WU Tharanga,Sri Lanka,617,0.8956692913385826,34.27777777777778,4,1,0.2158956109134045,1.2306413486765202,403371
WU Tharanga,Sri Lanka,617,0.7481662591687042,35.875,4,1,0.2158956109134045,1.004248449939465,403372
WU Tharanga,Sri Lanka,617,0.8631578947368421,35.875,4,1,0.2158956109134045,1.2099231087129876,403373
Tamim Iqbal,Bangladesh,188,0.6431372549019608,23.5,5,1,0.18067226890756302,0.993781512605042,410337
WU Tharanga,Sri Lanka,617,0.8956692913385826,35.875,4,1,0.2158956109134045,1.2306413486765202,403374
S Matsikenyeri,Zimbabwe,227,0.8136200716845878,25.22222222222222,4,1,0.20319303338171263,1.3294629898403485,410338
Tamim Iqbal,Bangladesh,335,0.8958333333333334,41.875,5,1,0.3760504201680672,1.479431892517486,410339
Tamim Iqbal,Bangladesh,335,0.8958333333333334,41.875,5,1,0.3760504201680672,1.479431892517486,410340
Tamim Iqbal,Bangladesh,335,0.8958333333333334,41.875,5,1,0.3760504201680672,1.479431892517486,410341
Rizwan Cheema,Canada,0,0.0,0.0,1,0,0.0,0.0,415162
SCJ Broad,England,265,1.2666666666666666,41.0,2,1,0.22077922077922077,1.3831168831168832,350043
TT Bresnan,England,265,1.2857142857142858,41.0,2,1,0.22077922077922077,1.4819109461966606,350044
MJ Guptill,New Zealand,277,1.2133333333333334,60.666666666666664,3,1,0.3059581320450886,1.5795701183224815,403380
TD Paine,Australia,648,0.8725038402457758,50.142857142857146,4,2,0.1672254819782062,1.2812879691796064,350045
Yuvraj Singh,India,810,1.091644204851752,67.5,4,4,0.2533920058672534,1.117209842293945,403382
TD Paine,Australia,648,0.8134057971014492,50.142857142857146,4,2,0.1672254819782062,1.0879929045835672,350046
Yuvraj Singh,India,810,1.091644204851752,67.5,4,4,0.2533920058672534,1.2834619508585408,403381
TM Dilshan,Sri Lanka,617,0.9011857707509882,45.6,4,2,0.2158956109134045,1.2306413486765202,403383
SR Watson,Australia,648,0.8725038402457758,50.142857142857146,4,2,0.1672254819782062,1.2812879691796064,350047
TT Bresnan,England,265,1.2857142857142858,41.0,2,1,0.22077922077922077,1.4819109461966606,350048
TT Bresnan,England,265,1.2857142857142858,41.0,2,1,0.22077922077922077,1.4819109461966606,350049
Umar Akmal,Pakistan,276,1.0786516853932584,48.0,3,1,0.20934411500449238,1.5879186602870814,415274
MV Boucher,South Africa,489,1.1666666666666667,48.9,3,2,0.17312775330396477,1.3467561073287946,415275
PD Collingwood,England,265,0.8652849740932642,41.0,2,1,0.19967532467532467,1.2476569821930648,415276
TM Dowlin,West Indies,148,1.0,37.0,2,0,0.02558139534883721,1.3251162790697675,415277
YK Pathan,India,583,1.0481927710843373,48.583333333333336,4,1,0.1562156215621562,1.3059788271893926,415278
MV Boucher,South Africa,489,1.1666666666666667,48.9,3,2,0.17312775330396477,1.3467561073287946,415280
TM Dilshan,Sri Lanka,617,0.9011857707509882,45.6,4,2,0.2158956109134045,1.2306413486765202,415279
NT Broom,New Zealand,277,1.2727272727272727,45.6,4,0,0.3059581320450886,1.6448616600790513,415282
V Kohli,India,416,1.0,37.81818181818182,4,1,0.1252359974826935,1.0371302706104468,415284
SR Watson,Australia,568,0.8725038402457758,50.142857142857146,5,1,0.13160100586756077,1.2812879691796064,415283
TD Paine,Australia,408,0.8015717092337917,50.142857142857146,2,0,0.08172673931265717,1.0127657743888667,415285
NT Broom,New Zealand,277,0.8823529411764706,45.6,4,1,0.3059581320450886,1.1265897663413191,415286
TD Paine,Australia,568,0.8725038402457758,50.142857142857146,5,1,0.13160100586756077,1.2812879691796064,415287
V Sehwag,India,583,1.1752265861027191,48.583333333333336,4,1,0.1562156215621562,1.3059788271893926,416236
T Taibu,Zimbabwe,316,1.0533807829181494,59.2,3,2,0.2317241379310345,1.2537931034482759,422626
SR Watson,Australia,568,0.8725038402457758,50.142857142857146,4,1,0.13160100586756077,1.2812879691796064,416237
Tamim Iqbal,Bangladesh,546,1.0055248618784531,45.5,4,3,0.21168631471040492,1.38290158052617,422627
Yuvraj Singh,India,810,1.1752265861027191,67.5,4,4,0.2533920058672534,1.2313967518830966,416238
Tamim Iqbal,Bangladesh,546,1.0055248618784531,45.5,4,3,0.21168631471040492,1.38290158052617,422628
Yuvraj Singh,India,810,1.1752265861027191,67.5,4,4,0.2533920058672534,1.3059788271893926,416239
Tamim Iqbal,Bangladesh,444,0.7984189723320159,34.15384615384615,4,1,0.2060481804202973,1.2239996612609558,422629
TG Southee,New Zealand,277,1.372093023255814,39.57142857142857,3,1,0.3059581320450886,1.1265897663413191,426720
Yuvraj Singh,India,810,1.1752265861027191,67.5,4,4,0.2533920058672534,1.2313967518830966,416240
Tamim Iqbal,Bangladesh,546,1.0055248618784531,45.5,4,3,0.21168631471040492,1.38290158052617,422630
Younis Khan,Pakistan,570,1.0303030303030303,30.5,5,2,0.16233489561141884,1.3875786360560414,426721
SR Watson,Australia,568,0.8725038402457758,50.142857142857146,3,1,0.13160100586756077,1.2812879691796064,416241
T Taibu,Zimbabwe,316,0.8488745980707395,38.6,3,2,0.2317241379310345,1.1637416650790626,430508
Younis Khan,Pakistan,570,1.0786516853932584,48.0,5,2,0.16233489561141884,1.5879186602870814,426722
S Matsikenyeri,Zimbabwe,316,1.0533807829181494,59.2,3,2,0.2317241379310345,1.2537931034482759,430509
PD Collingwood,England,479,0.890625,57.0,6,2,0.19248826291079812,1.1896138737185016,387566
PD Collingwood,England,479,0.890625,87.0,6,2,0.19248826291079812,1.1896138737185016,387567
PD Collingwood,England,479,0.890625,87.0,6,2,0.19248826291079812,1.1896138737185016,387568
TT Samaraweera,Sri Lanka,584,0.958904109589041,41.61538461538461,5,2,0.16641975308641976,1.1525485692410757,430886
TM Dilshan,Sri Lanka,584,0.9343696027633851,41.61538461538461,5,2,0.16641975308641976,1.071263462043604,430887
Yuvraj Singh,India,787,1.1752265861027191,49.1875,5,3,0.17853922452660054,1.2313967518830966,430888
V Sehwag,India,787,1.1752265861027191,49.1875,5,3,0.14126840997896004,1.2313967518830966,430889
WU Tharanga,Sri Lanka,584,0.9343696027633851,41.61538461538461,5,2,0.16641975308641976,1.0263264464121362,434258
WU Tharanga,Sri Lanka,584,2.2142857142857144,38.13333333333333,5,1,0.1259259259259259,1.071263462043604,434259
Yuvraj Singh,India,1082,1.2443064182194616,49.18181818181818,5,3,0.17853922452660054,1.2981977422766897,434260
WU Tharanga,Sri Lanka,584,0.7886676875957122,30.736842105263158,5,1,0.12246913580246914,0.971617372768452,434261
Yuvraj Singh,India,756,0.9667519181585678,44.470588235294116,5,3,0.17853922452660054,1.0751893674642807,434262
Yuvraj Singh,India,1082,0.9667519181585678,49.18181818181818,5,3,0.17853922452660054,1.0751893674642807,434263
WU Tharanga,Sri Lanka,584,0.9343696027633851,41.61538461538461,5,2,0.16641975308641976,1.071263462043604,434264
SR Watson,Australia,1056,0.8934010152284264,42.95454545454545,6,3,0.14367363027197477,1.1681945910206364,406202
Younis Khan,Pakistan,537,1.0946372239747635,30.363636363636363,5,2,0.1912936848559166,1.4176520393565153,406203
Younis Khan,Pakistan,537,1.1547619047619047,30.363636363636363,5,2,0.1912936848559166,1.4176520393565153,406204
Younis Khan,Pakistan,537,1.1547619047619047,30.363636363636363,5,2,0.1912936848559166,1.4176520393565153,406205
RT Ponting,Australia,1056,0.9680851063829787,40.84,6,3,0.13933780055183287,1.4652227304318424,406206
Tamim Iqbal,Bangladesh,632,0.9764705882352941,38.733333333333334,4,2,0.2094218415417559,1.3589944280042485,423783
TM Dowlin,West Indies,217,1.1164383561643836,49.333333333333336,4,0,0.19767441860465115,1.4880984952120384,406192
PJ Ingram,New Zealand,542,0.9324324324324325,69.0,7,2,0.19900497512437812,1.142334305484074,423784
SR Watson,Australia,1021,0.8063139931740614,42.95454545454545,6,3,0.14367363027197477,1.0011749360035804,406193
NT Broom,New Zealand,542,0.9585798816568047,36.13333333333333,7,2,0.19900497512437812,1.5179520975880805,423785
TM Dowlin,West Indies,217,1.1164383561643836,36.166666666666664,5,0,0.19534883720930232,1.4880984952120384,406195
TM Dowlin,West Indies,217,1.1164383561643836,36.166666666666664,5,0,0.19534883720930232,1.4880984952120384,406196
MV Boucher,South Africa,547,1.0193548387096774,45.833333333333336,4,1,0.24306688417618272,1.2162940216869782,441827
MV Boucher,South Africa,547,0.972972972972973,46.5,4,1,0.24306688417618272,1.2162940216869782,441828
YK Pathan,India,1082,0.9181818181818182,49.18181818181818,6,2,0.17671517671517672,1.2550756736803248,441829
PD Collingwood,England,621,0.8369272237196765,41.4,5,3,0.2160342717258262,1.1878553641521608,426420
PD Collingwood,England,621,0.9411764705882353,64.0,5,3,0.2160342717258262,1.1878553641521608,426421
PJ Ingram,New Zealand,542,0.9324324324324325,69.0,7,1,0.19900497512437812,1.0629206906643254,423791
S Chanderpaul,West Indies,301,1.1164383561643836,50.166666666666664,4,1,0.3023255813953488,1.4880984952120384,439140
Tamim Iqbal,Bangladesh,632,0.9764705882352941,38.733333333333334,4,2,0.2094218415417559,1.3589944280042485,426422
S Chanderpaul,West Indies,301,1.1164383561643836,50.166666666666664,5,1,0.3023255813953488,1.4880984952120384,439141
SR Watson,Australia,1056,0.8934010152284264,42.95454545454545,6,3,0.14367363027197477,1.1681945910206364,423793
V Sibanda,Zimbabwe,384,1.0,46.666666666666664,3,2,0.21016483516483517,1.5567256817256818,439142
S Chanderpaul,West Indies,301,1.1164383561643836,50.166666666666664,5,1,0.3023255813953488,1.4880984952120384,439143
SR Watson,Australia,1056,0.9082969432314411,42.95454545454545,6,3,0.14367363027197477,1.1681945910206364,423795
KA Pollard,West Indies,163,1.1875,50.0,3,0,0.19534883720930232,1.4880984952120384,439144
N Deonarine,West Indies,471,1.026143790849673,36.23076923076923,6,1,0.3160270880361174,1.3688376111250453,439148
S Chanderpaul,West Indies,471,1.026143790849673,36.833333333333336,6,1,0.3160270880361174,1.3688376111250453,439149
H Masakadza,Zimbabwe,425,0.9100642398286938,38.54545454545455,3,2,0.21016483516483517,1.5567256817256818,452146
JP Duminy,South Africa,659,1.0785597381342062,57.666666666666664,5,3,0.22896963663514186,1.1879957277677586,439150
V Kohli,India,693,0.9415760869565217,45.86666666666667,7,2,0.13709677419354838,1.017231376189371,452147
WU Tharanga,Sri Lanka,692,1.0282317979197622,53.23076923076923,4,2,0.12412945514133551,1.0916641810163978,452148
MV Boucher,South Africa,659,1.0785597381342062,57.666666666666664,5,3,0.22896963663514186,1.1879957277677586,439151
T Taibu,Zimbabwe,425,0.9100642398286938,38.54545454545455,3,2,0.21016483516483517,1.5567256817256818,452149
WU Tharanga,Sri Lanka,692,1.0282317979197622,53.23076923076923,5,2,0.12740101920815367,1.178361426891415,452150
T Taibu,Zimbabwe,411,0.7564102564102564,32.77777777777778,3,1,0.21016483516483517,1.0750386001029335,452151
WU Tharanga,Sri Lanka,692,1.0282317979197622,53.23076923076923,4,2,0.12412945514133551,1.178361426891415,452152
Umar Akmal,Pakistan,498,1.2256809338521402,33.2,5,2,0.1280388978930308,1.4347456973064752,455231
