country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
Bangladesh,0.0,-282,-51,11,0,335357
Australia,0.625,492,3,16,10,319146
Australia,0.625,492,3,16,10,319147
Sri Lanka,0.46153846153846156,92,-10,13,6,335358
India,0.5454545454545454,-51,30,33,18,343732
Sri Lanka,0.46153846153846156,92,-10,13,6,343733
England,0.42857142857142855,-87,6,14,6,296914
India,0.5454545454545454,-51,30,33,18,343734
South Africa,0.8333333333333334,148,55,18,15,296915
India,0.5454545454545454,-51,30,33,18,366341
England,0.42857142857142855,-87,6,14,6,296916
Australia,0.7,746,10,20,14,336201
Bangladesh,0.06666666666666667,-436,-70,15,1,336202
Australia,0.7,746,10,20,14,336204
South Africa,0.6923076923076923,-60,31,13,9,350348
West Indies,0.25,-260,-19,12,3,374059
India,0.6818181818181818,260,39,22,15,361043
Pakistan,0.7777777777777778,391,32,18,14,374060
India,0.6818181818181818,260,39,22,15,361044
Zimbabwe,0.125,-221,-24,8,1,375456
Zimbabwe,0.125,-221,-24,8,1,375457
Sri Lanka,0.4375,338,-11,16,7,375460
England,0.5,187,3,8,4,361047
Sri Lanka,0.4375,338,-11,16,7,375462
West Indies,0.25,-260,-19,12,3,366711
Zimbabwe,0.1,-9,-34,10,1,378753
Sri Lanka,0.4375,338,-11,16,7,378755
Australia,0.7333333333333333,744,4,15,11,351684
Australia,0.7333333333333333,744,4,15,11,351685
Sri Lanka,0.4375,338,-11,16,7,385749
Sri Lanka,0.5,362,-9,22,11,385750
Zimbabwe,0.1,-9,-34,10,1,378759
Australia,0.7333333333333333,744,4,15,11,351686
Sri Lanka,0.5,362,-9,22,11,385751
Australia,0.7333333333333333,744,4,15,11,351687
Sri Lanka,0.5,362,-9,22,11,386530
South Africa,0.75,160,31,12,9,351688
India,0.7391304347826086,503,39,23,17,386531
Kenya,0.0,-159,0,1,0,385025
Australia,0.7333333333333333,744,4,15,11,351689
India,0.7391304347826086,503,39,23,17,386532
India,0.7391304347826086,503,39,23,17,386533
Australia,0.7333333333333333,744,4,15,11,351690
Australia,0.7333333333333333,744,4,15,11,351691
Sri Lanka,0.5,362,-9,22,11,386534
New Zealand,0.8,-41,7,5,4,351692
India,0.7391304347826086,503,39,23,17,366627
India,0.7391304347826086,503,39,23,17,366625
West Indies,0.125,-278,-17,8,1,352666
Scotland,1.0,0,6,1,1,390204
England,0.4,-25,3,10,4,352669
Australia,0.625,505,-1,16,10,350477
Australia,0.625,505,-1,16,10,350478
South Africa,0.6,108,4,10,6,350479
South Africa,0.6,108,4,10,6,350480
Australia,0.625,505,-1,16,10,350481
Australia,0.625,505,-1,16,10,392616
Pakistan,0.6153846153846154,-293,24,13,8,392617
Australia,0.625,505,-1,16,10,392618
Pakistan,0.6153846153846154,-293,24,13,8,392619
Australia,0.625,505,-1,16,10,392620
West Indies,0.1111111111111111,-283,-18,9,1,380715
England,0.4166666666666667,-20,3,12,5,380716
India,0.7368421052631579,410,10,19,14,377313
India,0.7368421052631579,410,10,19,14,377314
Bangladesh,0.2857142857142857,-352,3,7,2,401073
West Indies,0.2222222222222222,-107,-9,9,2,401074
Sri Lanka,0.47058823529411764,147,1,17,8,403370
West Indies,0.2222222222222222,-107,-9,9,2,401075
Pakistan,0.5,-366,9,10,5,403371
Pakistan,0.5,-366,9,10,5,403372
Pakistan,0.5,-366,9,10,5,403373
Zimbabwe,0.375,170,-17,8,3,410337
Pakistan,0.5,-366,9,10,5,403374
Bangladesh,0.2857142857142857,-352,3,7,2,410338
Zimbabwe,0.375,170,-17,8,3,410339
Zimbabwe,0.375,170,-17,8,3,410340
Zimbabwe,0.375,170,-17,8,3,410341
Kenya,0.0,-159,-4,2,0,415162
Australia,0.45,200,-20,20,9,350043
Australia,0.45,200,-20,20,9,350044
Sri Lanka,0.47058823529411764,147,1,17,8,403380
England,0.42857142857142855,-149,0,7,3,350045
New Zealand,0.5714285714285714,-90,17,7,4,403382
England,0.42857142857142855,-149,0,7,3,350046
Sri Lanka,0.47058823529411764,147,1,17,8,403381
India,0.75,451,-4,12,9,403383
England,0.42857142857142855,-149,0,7,3,350047
Australia,0.45,200,-20,20,9,350048
